part_number,manufacturer,condition,price,quantity,status,description
MAG Infinite S3 14NVM5-2873EU,MSI,NEW,1363,10,ON-SITE,MSI MAG Infinite S3 14NVM5-2873EU Intel® Core™ i5 i5-14400F 16 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5060 Ti Windows 11 Home Desktop PC Black
90YA006DPL,Lenovo,NEW,1672.93,8,ON-SITE,Lenovo Legion T5 30IAS10 Ultra 5 225 32GB DDR5 5600 SSD1TB GeForce RTX 5060 8GB 500W NoOS Eclipse Black
91DF0067PL,Lenovo,NEW,1566.98,8,ON-SITE,Lenovo LOQ Tower 26ADR10 Ryzen 7 8745HX 32GB DDR5 5200 1TB SSD GeForce RTX 5060 Ti 16GB Windows 11 Luna Grey / Eclipse Black
MEG Vision X AI 2NVR7-290EU,MSI,NEW,3644.41,8,ON-SITE,MSI MEG Vision X AI 2NVR7-290EU Intel Core Ultra 7 265K 64 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5070 Ti Windows 11 Home Desktop PC Black
90YE001BPL,Lenovo,NEW,1941.7,7,ON-SITE,Lenovo Legion T5 30IAX10 Ultra 9 275HX 32GB DDR5 5600 SSD2TB GeForce RTX 5060 Ti 8GB 850W Win11 Eclipse Black
90YA006EPL,Lenovo,NEW,1477.27,7,ON-SITE,Lenovo Legion T5 30IAS10 Ultra 5 225 32GB DDR5 5600 SSD1TB GeForce RTX 5060 8GB 500W Win11 Eclipse Black
90YA006CPL,Lenovo,NEW,1453.01,7,ON-SITE,Lenovo Legion T5 30IAS10 Ultra 5 225 32GB DDR5 5600 SSD1TB GeForce RTX 5060 Ti 8GB 500W NoOS Eclipse Black
90YE001APL,Lenovo,NEW,2185.73,6,ON-SITE,Lenovo Legion T5 30IAX10 Intel Core Ultra 7 255HX 32 GB DDR5-SDRAM 2 TB SSD NVIDIA GeForce RTX 5070 Ti Windows 11 Home Tower PC Black
90YJ005HPL,Lenovo,NEW,1367.43,6,ON-SITE,Lenovo Legion T5 30AGB10 AMD Ryzen™ 5 7600 32 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5060 Windows 11 Home Tower PC Black
MAG Infinite S3 14NVP5-2822XEU,MSI,NEW,1549.88,6,ON-SITE,MSI MAG Infinite S3 14NVP5-2822XEU Core i5-14400F 16GB DDR5 1TB SSD GeForce RTX 5070 12GB SHADOW 2X AW-XB560NF (Wi-Fi 6E) Bluetooth 5.3 500W noOS Black 2Y
MPG Infinite X3 AI 2NVR7-641EU,MSI,NEW,2541.36,6,ON-SITE,MSI MPG Infinite X3 AI 2NVR7-641EU Intel Core Ultra 7 265KF 32 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5070 Ti Windows 11 Home Desktop PC Black
